Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,TotPop,MalePop,FemalePop,AvgHHSize,MedianHHIncome
36085011402,14000US36085011402,"Census Tract 114.02, Richmond County, New York","Census Tract 114.02, Richmond County, New York",ny,140,0,ACSSF,7271,36,85,11402,3743,1716,2027,2.92,80957
36085012100,14000US36085012100,"Census Tract 121, Richmond County, New York","Census Tract 121, Richmond County, New York",ny,140,0,ACSSF,7272,36,85,12100,3228,1592,1636,2.68,103750
36085012200,14000US36085012200,"Census Tract 122, Richmond County, New York","Census Tract 122, Richmond County, New York",ny,140,0,ACSSF,7273,36,85,12200,3753,1888,1865,2.68,95556
36085012500,14000US36085012500,"Census Tract 125, Richmond County, New York","Census Tract 125, Richmond County, New York",ny,140,0,ACSSF,7274,36,85,12500,2871,1386,1485,3,78654
36085012804,14000US36085012804,"Census Tract 128.04, Richmond County, New York","Census Tract 128.04, Richmond County, New York",ny,140,0,ACSSF,7275,36,85,12804,4133,1969,2164,2.71,74333
36085012805,14000US36085012805,"Census Tract 128.05, Richmond County, New York","Census Tract 128.05, Richmond County, New York",ny,140,0,ACSSF,7276,36,85,12805,2570,1230,1340,2.93,73636
36085012806,14000US36085012806,"Census Tract 128.06, Richmond County, New York","Census Tract 128.06, Richmond County, New York",ny,140,0,ACSSF,7277,36,85,12806,5658,2509,3149,2.52,56711
36085013201,14000US36085013201,"Census Tract 132.01, Richmond County, New York","Census Tract 132.01, Richmond County, New York",ny,140,0,ACSSF,7278,36,85,13201,1559,713,846,2.74,105294
36085013203,14000US36085013203,"Census Tract 132.03, Richmond County, New York","Census Tract 132.03, Richmond County, New York",ny,140,0,ACSSF,7279,36,85,13203,5744,2894,2850,2.91,80500
36085013204,14000US36085013204,"Census Tract 132.04, Richmond County, New York","Census Tract 132.04, Richmond County, New York",ny,140,0,ACSSF,7280,36,85,13204,4682,2099,2583,2.54,83262
36085013301,14000US36085013301,"Census Tract 133.01, Richmond County, New York","Census Tract 133.01, Richmond County, New York",ny,140,0,ACSSF,7281,36,85,13301,1380,475,905,2.35,13485
36085013302,14000US36085013302,"Census Tract 133.02, Richmond County, New York","Census Tract 133.02, Richmond County, New York",ny,140,0,ACSSF,7282,36,85,13302,2835,1369,1466,3.19,39965
36085013400,14000US36085013400,"Census Tract 134, Richmond County, New York","Census Tract 134, Richmond County, New York",ny,140,0,ACSSF,7283,36,85,13400,4087,1906,2181,2.72,83201
36085013800,14000US36085013800,"Census Tract 138, Richmond County, New York","Census Tract 138, Richmond County, New York",ny,140,0,ACSSF,7284,36,85,13800,6442,3041,3401,2.68,96042
36085014100,14000US36085014100,"Census Tract 141, Richmond County, New York","Census Tract 141, Richmond County, New York",ny,140,0,ACSSF,7285,36,85,14100,2329,1139,1190,2.78,65227
36085014604,14000US36085014604,"Census Tract 146.04, Richmond County, New York","Census Tract 146.04, Richmond County, New York",ny,140,0,ACSSF,7286,36,85,14604,6988,3093,3895,2.7,77843
36085014605,14000US36085014605,"Census Tract 146.05, Richmond County, New York","Census Tract 146.05, Richmond County, New York",ny,140,0,ACSSF,7287,36,85,14605,3680,1807,1873,2.75,107589
36085014606,14000US36085014606,"Census Tract 146.06, Richmond County, New York","Census Tract 146.06, Richmond County, New York",ny,140,0,ACSSF,7288,36,85,14606,6687,3148,3539,2.88,103060
36085014607,14000US36085014607,"Census Tract 146.07, Richmond County, New York","Census Tract 146.07, Richmond County, New York",ny,140,0,ACSSF,7289,36,85,14607,4539,2207,2332,2.67,74630
36085014608,14000US36085014608,"Census Tract 146.08, Richmond County, New York","Census Tract 146.08, Richmond County, New York",ny,140,0,ACSSF,7290,36,85,14608,3617,1766,1851,3.18,96616
36085014700,14000US36085014700,"Census Tract 147, Richmond County, New York","Census Tract 147, Richmond County, New York",ny,140,0,ACSSF,7291,36,85,14700,3411,1719,1692,2.56,87174
36085015100,14000US36085015100,"Census Tract 151, Richmond County, New York","Census Tract 151, Richmond County, New York",ny,140,0,ACSSF,7292,36,85,15100,5412,2490,2922,2.82,111595
36085015400,14000US36085015400,"Census Tract 154, Richmond County, New York","Census Tract 154, Richmond County, New York",ny,140,0,ACSSF,7293,36,85,15400,0,0,0,,
36085015601,14000US36085015601,"Census Tract 156.01, Richmond County, New York","Census Tract 156.01, Richmond County, New York",ny,140,0,ACSSF,7294,36,85,15601,6470,3115,3355,2.66,104760
36085015602,14000US36085015602,"Census Tract 156.02, Richmond County, New York","Census Tract 156.02, Richmond County, New York",ny,140,0,ACSSF,7295,36,85,15602,3378,1584,1794,2.96,100150
36085015603,14000US36085015603,"Census Tract 156.03, Richmond County, New York","Census Tract 156.03, Richmond County, New York",ny,140,0,ACSSF,7296,36,85,15603,4996,2367,2629,2.85,89212
